Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Med CSP (Não Programadas e >= 65)
2017-09-23;ARS Algarve;333.0;333.0;0.0;80.0
2017-09-24;ARS Lisboa e Vale do Tejo;1300.0;1300.0;0.0;258.0
2017-09-24;ARS Algarve;288.0;204.0;84.0;35.0
2017-09-25;ARS Centro;25783.0;14767.0;11016.0;6407.0
2017-09-27;ARS Lisboa e Vale do Tejo;31554.0;13164.0;18390.0;5239.0
2017-09-28;ARS Algarve;4172.0;2010.0;2162.0;835.0
2017-09-30;ARS Lisboa e Vale do Tejo;2082.0;2053.0;29.0;486.0
2017-10-01;ARS Alentejo;923.0;887.0;36.0;267.0
2017-10-03;ARS Algarve;4706.0;2406.0;2300.0;983.0
2017-10-05;ARS Alentejo;1000.0;956.0;44.0;307.0
2017-10-06;ARS Centro;16122.0;10491.0;5631.0;4340.0
2017-10-09;ARS Norte;66903.0;37930.0;28973.0;14142.0
2017-10-09;ARS Algarve;5283.0;2792.0;2491.0;1150.0
2017-10-10;ARS Alentejo;8973.0;4703.0;4270.0;2111.0
2017-10-10;ARS Algarve;5130.0;2576.0;2554.0;1088.0
2017-10-11;ARS Alentejo;8227.0;4287.0;3940.0;1973.0
2017-10-11;ARS Algarve;4779.0;2401.0;2378.0;1050.0
2017-10-12;ARS Norte;58438.0;31883.0;26555.0;11940.0
2017-10-13;ARS Centro;18226.0;11085.0;7141.0;4688.0
2017-10-13;ARS Alentejo;6406.0;3501.0;2905.0;1566.0
2017-10-14;ARS Lisboa e Vale do Tejo;2082.0;2054.0;28.0;485.0
2017-10-17;ARS Norte;58406.0;30174.0;28232.0;11209.0
2017-10-18;ARS Norte;56380.0;29043.0;27337.0;10771.0
2017-10-21;ARS Norte;2490.0;2380.0;110.0;471.0
2017-10-21;ARS Lisboa e Vale do Tejo;1869.0;1842.0;27.0;443.0
2017-10-23;ARS Alentejo;8891.0;4713.0;4178.0;2132.0
2017-10-24;ARS Lisboa e Vale do Tejo;33613.0;13544.0;20069.0;5364.0
2017-10-24;ARS Algarve;4965.0;2527.0;2438.0;1049.0
2017-10-25;ARS Lisboa e Vale do Tejo;20916.0;8870.0;12046.0;3559.0
2017-10-25;ARS Algarve;3417.0;1745.0;1672.0;761.0
2017-10-30;ARS Lisboa e Vale do Tejo;34489.0;15393.0;19096.0;6178.0
2017-11-01;ARS Alentejo;785.0;753.0;32.0;192.0
2017-11-02;ARS Alentejo;7413.0;4042.0;3371.0;1832.0
2017-11-02;ARS Algarve;4145.0;2282.0;1863.0;921.0
2017-11-03;ARS Centro;17265.0;10461.0;6804.0;4409.0
2017-11-04;ARS Algarve;280.0;254.0;26.0;62.0
2017-11-05;ARS Algarve;252.0;184.0;68.0;36.0
2017-11-06;ARS Norte;64422.0;36221.0;28201.0;13706.0
2017-11-06;ARS Centro;28102.0;16347.0;11755.0;7095.0
2017-11-07;ARS Norte;60846.0;31982.0;28864.0;11939.0
2017-11-07;ARS Alentejo;8719.0;4452.0;4267.0;2057.0
2017-11-09;ARS Lisboa e Vale do Tejo;33558.0;14491.0;19067.0;5869.0
2017-11-12;ARS Norte;2311.0;2311.0;0.0;432.0
